year,section_name,block,beneficial_fraction_mean,crop_water_deficit_mean,relative_water_deficit_mean,total_seasonal_biomass_production_mean,seasonal_yield_mean,crop_water_productivity_mean,beneficial_fraction_min,crop_water_deficit_min,relative_water_deficit_min,total_seasonal_biomass_production_min,seasonal_yield_min,crop_water_productivity_min,beneficial_fraction_max,crop_water_deficit_max,relative_water_deficit_max,total_seasonal_biomass_production_max,seasonal_yield_max,crop_water_productivity_max,beneficial_fraction_std,crop_water_deficit_std,relative_water_deficit_std,total_seasonal_biomass_production_std,seasonal_yield_std,crop_water_productivity_std
2018,Mwea,M1,0.75744927,0.66746193,0.33253807,19.419947,7.368156,1.1841369,0.0,0.23656857,0.1937095,0.0,0.0,0.0,0.8583626,0.8062905,0.76343143,25.501135,9.67543,1.3973964,0.079561315,0.073246315,0.073246315,3.4132357,1.2950218,0.14370349
2018,Tebere,T8,0.77740574,0.65777224,0.34222773,16.242643,6.162649,0.9574954,0.4233901,0.2596579,0.1900186,7.3124266,2.7744205,0.5524104,0.88309735,0.8099814,0.74034214,27.617779,10.47851,1.3260789,0.028947344,0.047683906,0.047683906,4.824572,1.8304994,0.2650482
2018,Tebere,T23,0.7741058,0.6526922,0.3473079,16.059244,6.0930657,0.9520984,0.62597984,0.3432635,0.19623291,8.5374155,3.2391958,0.56391543,0.86011475,0.8037671,0.6567365,25.367804,9.624843,1.2581692,0.029587483,0.050903518,0.050903518,4.7575645,1.8050758,0.2551398
2018,Tebere,T11,0.7569195,0.64485604,0.355144,12.956781,4.9159546,0.7768617,0.68454635,0.46876803,0.23339099,8.6179695,3.269759,0.54914373,0.8497409,0.766609,0.531232,23.906706,9.070485,1.2332059,0.023833575,0.028924523,0.028924523,4.223669,1.6025097,0.23277415
2018,Tebere,T7,0.77830416,0.6517143,0.34828573,15.593248,5.9162617,0.92603177,0.6,0.30270997,0.20571464,8.540193,3.2402494,0.5659824,0.89927006,0.79428536,0.69729006,25.844185,9.805588,1.3286527,0.028700018,0.04172589,0.04172589,4.7655416,1.8081025,0.26131365
2018,Tebere,T6,0.7897,0.65855503,0.34144494,15.469855,5.8694444,0.91193736,0.28329608,0.2005894,0.19110769,4.479122,1.6994317,0.5676918,0.88052344,0.8088923,0.7994106,26.978897,10.236111,1.3347287,0.04159438,0.0600317,0.0600317,5.063032,1.9209739,0.2766247
2018,Tebere,T12,0.7974073,0.63565034,0.36434963,19.832823,7.524807,1.2135124,0.28340584,0.20616311,0.15817797,4.8166184,1.8274816,0.62182105,0.8989963,0.841822,0.7938369,28.441383,10.790996,1.3765224,0.03751004,0.070639074,0.070639074,2.8574317,1.0841432,0.10868582
2018,Tebere,T25,0.7627626,0.6019263,0.3980737,16.934511,6.425153,1.0974225,0.35203645,0.22493434,0.21570891,5.4971676,2.08569,0.55552965,0.8544336,0.7842911,0.77506566,24.377533,9.249123,1.2629713,0.050083775,0.096914075,0.096914075,3.7178166,1.4105833,0.16976157
2018,Tebere,T22,0.7686533,0.6595448,0.3404552,14.306041,5.42788,0.8371557,0.6637542,0.4546095,0.20987892,8.612414,3.2676513,0.56442946,0.86750996,0.7901211,0.5453905,25.305304,9.60113,1.2522873,0.028114034,0.03711193,0.03711193,4.7291317,1.7942882,0.25077057
2018,Tebere,T19,0.76411796,0.6571336,0.34286642,16.016354,6.076793,0.940451,0.6496112,0.46313024,0.20046127,7.522147,2.853991,0.5146383,0.8560435,0.79953873,0.53686976,25.228914,9.572146,1.2654117,0.036754057,0.04933051,0.04933051,5.0002456,1.897152,0.26243144
2018,Tebere,T15,0.7971928,0.6760496,0.32395044,19.011843,7.213316,1.0915965,0.51562196,0.31501058,0.1391505,8.240195,3.126427,0.5491055,0.8940103,0.8608495,0.68498945,27.866388,10.572835,1.3310637,0.044564247,0.085078344,0.085078344,4.819142,1.8284392,0.2255126
2018,Tebere,T20,0.76893574,0.66022885,0.33977118,16.582983,6.2917786,0.9716425,0.63789326,0.4352617,0.2222436,7.386037,2.8023493,0.5091131,0.85803795,0.7777564,0.5647383,25.040028,9.500481,1.2832192,0.0382719,0.047273606,0.047273606,4.7578073,1.805168,0.25251132
2018,Tebere,T21,0.76021403,0.6428082,0.35719186,17.270374,6.5525827,1.0438889,0.5344137,0.3518483,0.1622141,7.829088,2.970448,0.5403885,0.89644855,0.8377859,0.6481517,26.57751,10.08382,1.2691467,0.036062587,0.061585777,0.061585773,3.753944,1.4242904,0.19782807
2018,Tebere,T18,0.7787698,0.6784745,0.3215255,18.62169,7.0652895,1.0614964,0.672793,0.5051573,0.14491642,8.870745,3.3656647,0.58154386,0.8840938,0.8550836,0.4948427,27.920555,10.593387,1.3314602,0.036596186,0.044739813,0.044739816,4.111765,1.5600519,0.20050202
2018,Tebere,T16,0.7879282,0.6620685,0.33793148,18.579683,7.0493503,1.0891272,0.1470701,0.1672753,0.19097954,2.8638604,1.0865823,0.5771144,0.87840855,0.80902046,0.8327247,26.559458,10.07697,1.3644404,0.04848226,0.07656019,0.07656018,4.502344,1.7082424,0.2190103
2018,Tebere,T17,0.7757221,0.6677854,0.33221465,18.850285,7.15202,1.0952398,0.64303404,0.39310655,0.19053108,8.387416,3.182284,0.5575008,0.86355364,0.8094689,0.6068934,25.665022,9.737611,1.2822766,0.032112338,0.042280372,0.04228037,3.3439453,1.2687322,0.16775699
2018,Tebere,T13,0.7840284,0.6481477,0.35185227,19.76817,7.500275,1.1867584,0.20347649,0.18796848,0.1979627,3.1749682,1.2046202,0.6264608,0.87546927,0.8020373,0.8120315,26.90251,10.207129,1.3455734,0.04247843,0.075528905,0.075528905,3.0778327,1.1677657,0.12476306
2018,Tebere,T14,0.7936379,0.65851164,0.34148836,19.858679,7.534617,1.1706712,0.0,0.19994874,0.1927734,0.0,0.0,0.0,0.87757593,0.8072266,0.8000513,26.27057,9.967363,1.3482451,0.06288508,0.07403528,0.07403528,3.6298544,1.3772093,0.16219936
2018,Tebere,T5,0.792039,0.6680461,0.3319538,19.820412,7.5200973,1.1522319,0.2285109,0.18969825,0.18655902,3.387466,1.2852445,0.59809417,0.88125443,0.813441,0.8103018,27.355282,10.378916,1.3800257,0.033011932,0.0529904,0.0529904,3.6754699,1.3945166,0.184022
2018,Tebere,T2,0.7996168,0.6812636,0.31873637,21.289076,8.077326,1.2137835,0.6967245,0.3325005,0.23018771,9.879068,3.7482347,0.64202714,0.8696174,0.7698123,0.66749954,25.437246,9.651191,1.3303239,0.024216687,0.03925123,0.03925123,2.253856,0.8551394,0.09312206
2018,Tebere,T3,0.83663636,0.720763,0.27923694,22.74132,8.628325,1.2881937,0.7073565,0.39624575,0.10843372,12.41932,4.712036,0.71011186,0.91586226,0.8915663,0.6037543,27.410837,10.399994,1.3840039,0.028055374,0.091624275,0.09162428,2.8761358,1.0912397,0.08384101
2018,Tebere,T4,0.8181754,0.65414256,0.34585744,21.119436,8.012961,1.2577511,0.4854369,0.23755525,0.17003012,7.722145,2.9298728,0.68622774,0.89741415,0.8299699,0.76244473,28.423326,10.784144,1.3962983,0.041135266,0.096711665,0.096711665,3.4927676,1.3251971,0.1059996
2018,Thiba,H8,0.73275095,0.616085,0.38391504,14.28674,5.420556,0.9029058,0.2087469,0.2065475,0.21641362,3.6332972,1.3785157,0.52626306,0.8574115,0.7835864,0.7934525,24.528921,9.306561,1.3033357,0.05013177,0.0689873,0.0689873,4.442971,1.6857154,0.25660047
2018,Thiba,H6,0.7507106,0.6322101,0.36778998,16.331285,6.1962814,1.0014348,0.0752374,0.17541163,0.24197578,2.0291464,0.769882,0.439305,0.84060174,0.7580242,0.82458836,25.560856,9.69809,1.3114387,0.049058054,0.06412917,0.06412917,4.311486,1.6358284,0.22816844
2018,Thiba,H7,0.7299546,0.61639565,0.38360435,14.927004,5.663481,0.9404744,0.54072636,0.3619066,0.18707156,7.8165884,2.9657056,0.52478755,0.8734337,0.81292844,0.6380934,27.351116,10.377335,1.3085141,0.030892977,0.047811147,0.047811143,4.01329,1.5226893,0.23388928
2018,Karaba,K7,0.80262566,0.7380258,0.26197416,16.864609,6.3986316,0.8847947,0.71650964,0.5687104,0.1697098,9.179075,3.482649,0.5598587,0.86674416,0.8302902,0.4312896,25.37197,9.626424,1.2130643,0.021930166,0.035834383,0.035834383,5.045597,1.9143587,0.24811295
2018,Karaba,K6,0.78327566,0.7111309,0.2888691,15.898973,6.032258,0.86493075,0.5721714,0.35729387,0.17451471,6.245771,2.369719,0.56985074,0.84741336,0.8254853,0.64270616,24.348368,9.238057,1.18811,0.029006772,0.047174558,0.047174558,4.9689813,1.8852899,0.24773897
2018,Karaba,K5,0.78252083,0.7011574,0.29884255,14.474494,5.4917927,0.79916394,0.5904337,0.44474342,0.17675698,7.180484,2.72436,0.5223888,0.85501945,0.823243,0.5552566,24.359478,9.242272,1.2199655,0.024465604,0.039497152,0.039497152,4.6855755,1.7777623,0.24026242
2018,Karaba,K4,0.7764258,0.6935336,0.30646628,15.159229,5.7515903,0.8468519,0.56790125,0.40476647,0.19078737,8.099919,3.0732045,0.5561734,0.8415309,0.8092126,0.59523356,24.228924,9.192739,1.1985326,0.027613247,0.043506697,0.043506693,4.749553,1.8020363,0.24743384
